Date of Auction,Auction List No.,Lot No.,Description,Quantity,Unit
"16/06/2022",1/2022,M-187,"Electronic Whiteboard (Panaboard, Brand: Panasonic, Model: KXB630)",1,No.
"16/06/2022",1/2022,M-187,"Facsimile Machine (Brand: Panasonic, Model: UF - 7300)",1,No.
"16/06/2022",1/2022,M-187,"Facsimile Machine (Brand: Panasonic, Model: UF-5300)",1,No.
"16/06/2022",1/2022,M-187,"Lens 1.6-3.4MM (Brand: COSMICAR/PENTAX, Model: 1122TS2V114E)",2,Nos.
"16/06/2022",1/2022,M-187,"Facsimile Machine, Heavy Duty Plain Paper (Brand: Panasonic, Model: UF890-FHG4HF00066)",1,No.
"16/06/2022",1/2022,M-188,"Intercom Unit, Master, Remote (Brand: Panasonic, Model: VN-482A)",1,No.
"16/06/2022",1/2022,M-188,"Intercom Unit, Master, Remote (Brand: Panasonic, Model: VN581A)",1,No.
"16/06/2022",1/2022,M-188,"Digital Camera (Brand: Panasonic, Model: Dm-Lc 33en 3m)",1,No.
"16/06/2022",1/2022,M-188,"Digital Video Camera (Brand: Jvc, Model: Gz-Mg70ah)",1,No.
"16/06/2022",1/2022,M-188,"Fax Machine, (Brand: Panasonic, Model: UF-585)",1,No.
"16/06/2022",1/2022,M-188,"Paper Collator (Brand: Duplo, Model: DC-Micro 8)",1,No.
"16/06/2022",1/2022,M-188,"Paper Collator (Brand: Duplo, Model: DFC-10)",1,No.
"16/06/2022",1/2022,M-188,"Digital Duplicator (Brand: Riso, Model: EZ-230A)",1,No.
"16/06/2022",1/2022,M-189,"Audio Mixer (Brand: Sound-Craft, Model: Notepad)",2,Nos.
"16/06/2022",1/2022,M-189,Lens 1.4/6-12MM,2,Nos.
"16/06/2022",1/2022,M-189,"Compressor (Brand: Behringer, Model: MDX1400)",2,Nos.
"16/06/2022",1/2022,M-189,"Camera, Wide Angle Video (Brand: JVC, Model: TKC400E)",4,Nos.
"16/06/2022",1/2022,M-189,"Control Unit, Central (Brand: BKE, Model: PRS-01)",2,Nos.
"16/06/2022",1/2022,M-190,"Mobile Phone with Battery and Charger (Brand: Nokia, Model: C2-01)",2,Nos.
"16/06/2022",1/2022,M-190,"Electronic Whiteboard (Panaboard, Brand: Panasonic, Model:  KXB630)",1,No.
"16/06/2022",1/2022,M-190,Stand of Electronic Whiteboard (Model: KX-B06C),1,No.
"16/06/2022",1/2022,M-191,"Mobile Phone (Brand: Nokia, Model: 2100)",3,Nos.
"16/06/2022",1/2022,M-191,"Mobile Phone (Brand: Nokia, Model: 3120)",1,No.
"16/06/2022",1/2022,M-191,Pcmcia Interface Adaptor of Test Equipment 'Rohde & Schwarz' Nrt-Z4 (Model: Folio 21A-4),1,No.
"16/06/2022",1/2022,M-191,Parallel Detect Panel (Model: C14Ausp),3,Nos.
"16/06/2022",1/2022,M-191,Intercom,5,Nos.
"16/06/2022",1/2022,M-191,"6.4"" Display Module (Model: Hc-6401A)",2,Nos.
"16/06/2022",1/2022,M-192,2W/4W Termination Set,1,No.
"16/06/2022",1/2022,M-192,Dual-Tone Multi-Frequency/Call Progress Tone Generate & Detector,1,No.
"16/06/2022",1/2022,M-192,Data Repeater Board,1,No.
"16/06/2022",1/2022,M-192,Connect/Disconnect Switch Card,1,No.
"16/06/2022",1/2022,M-192,110W 3U Power Supply Unit for Telephone/Facsimile,1,No.
"16/06/2022",1/2022,M-193,"Brush Cutter (Brand: Shindaiwa, Model: BP-40L)",1,No.
"16/06/2022",1/2022,M-193,Gas Indicator (Portable) (Model: TIF5750A),3,Nos.
"16/06/2022",1/2022,M-193,"Gas Indicator (Portable) (Brand: Cosmos, Model: XP-3120)",1,No.
"16/06/2022",1/2022,M-193,Growth Chamber (Model: BIC-400),1,No.
"16/06/2022",1/2022,M-193,Gas Indicator (Model: IF-18),2,Nos.
"16/06/2022",1/2022,M-193,Paper Folder (Brand: Accufast),1,No.
"16/06/2022",1/2022,M-193,"Digital Camera (Brand: Sony, Model: DSC-F717)",1,No.
"16/06/2022",1/2022,M-193,"Digital Camera (Brand: Canon, Model: S100)",1,No.
"16/06/2022",1/2022,M-193,"Digital Camera (Brand: Sony, Model: DSC-T77)",2,Nos.
"16/06/2022",1/2022,M-194,"Camera Lens (Brand: Nikon, Model: 105mm)",1,No.
"16/06/2022",1/2022,M-194,"Underwater Housing (Brand: Nauticam, Model: D7000)",1,No.
"16/06/2022",1/2022,M-194,"Underwater Housing (Brand: AMPHIBICO, Model: AX2000)",1,No.
"16/06/2022",1/2022,M-194,"Digital Camera (Brand: Canon, Model: G15)",1,No.
"16/06/2022",1/2022,M-194,"Digital Camcorder (Brand: Sony, Model: HDR-TD10)",1,No.
"16/06/2022",1/2022,M-194,"Digital Camera (Brand: Nikon, Model: D7000)",1,No.
"16/06/2022",1/2022,M-194,"Digital Camcorder (Brand: Sony, Model: HDR-AX2000)",1,No.
"16/06/2022",1/2022,M-194,Tripod ,1,No.
"16/06/2022",1/2022,M-194,"Digital Camera (Brand: Leica, Model: V-Lux 30)",1,No.
"16/06/2022",1/2022,M-195,"Digital Camera (Brand: Nikon, Model: P5000)",1,No.
"16/06/2022",1/2022,M-195,"Concentrator (Brand: Turbo Vap LV, Model: Visiprep)",1,No.
"16/06/2022",1/2022,M-195,"Digital Camera (Brand: Canon, Model: IXUS960)",1,No.
"16/06/2022",1/2022,M-195,Sulfites Apparatus (Glasses) (Brand: Kontes),1,Set
"16/06/2022",1/2022,M-195,"Vacuum Rotory Evaporator  (Brand: Eyela, Model: N-1001)",1,Set
"16/06/2022",1/2022,M-195,"Paper Shredder (Brand: Emiss, Model: Auto 100)",1,No.
"16/06/2022",1/2022,M-195,"Manifold Vacuum (Brand: Supelco, Model: Visiprep)",1,No.
"16/06/2022",1/2022,M-195,Magnetic Stirrer with Heater (Brand: IKA),1,No.
"16/06/2022",1/2022,M-195,Sample Rack (Brand: Turbo Vap LV),1,No.
"16/06/2022",1/2022,M-196,"Air Purifier (Brand: IQAir, Model: GC MultiGas)",1,No.
"16/06/2022",1/2022,M-196,"Air Purifier (Brand: IQAir, Model: Health Pro 250 Special)",1,No.
"16/06/2022",1/2022,M-196,"Clothes Dryer (Brand: Philco, Model: PD40M 4.0kg)",1,No.
"16/06/2022",1/2022,M-196,"Work Top Refrigerator Chiller 1 [(External dimension: 96""L x 48""D x 35""H)(Internal dimension: 71""L x 42""D x 27""H)] 
Work Top Refrigerator Chiller 2 [(External dimension: 124""L x 59""D x 45""H)(Internal dimension: 92""L x 54""D x 38""H)]",2,Nos.
"16/06/2022",1/2022,M-197,"Digital Carmera (Brand: Canon, Model: Powershot G9)",1,No.
"16/06/2022",1/2022,M-197,"Digital Carmera (Brand: Olympus, Model: Stylus 1030SW)",1,No.
"16/06/2022",1/2022,M-197,"Digital Carmera (Brand: Sony, Model: Cybershot DSC-N2)",1,No.
"16/06/2022",1/2022,M-197,"Digital Carmera (Brand: Canon, Model: Powershot S100)",1,No.
"16/06/2022",1/2022,M-197,"Flow Injection Analyzer, Model: Quickchem 8500",1,No.
"16/06/2022",1/2022,M-198,DVD Player,1,No.
"16/06/2022",1/2022,M-198,Hi-Fi System,1,Set
"16/06/2022",1/2022,M-198,VCD Hi-Fi System,1,Set
"16/06/2022",1/2022,M-198,Microwave Oven,2,Nos.
"16/06/2022",1/2022,M-199,Chinese Billiard ,1,No.
"16/06/2022",1/2022,M-199,Soccer Game Machine,1,No.
"16/06/2022",1/2022,M-199,TV Top box ,1,No.
"16/06/2022",1/2022,M-199,Microwave Oven,3,Nos.
"16/06/2022",1/2022,M-199,Oven,2,Nos.
"16/06/2022",1/2022,M-199,Combi Steamer,1,No.
"16/06/2022",1/2022,M-200,Hot & Cold Water Dispenser,3,Nos.
"16/06/2022",1/2022,M-200,Microwave Oven,1,No.
"16/06/2022",1/2022,M-201,"Facsimile Machine (Brand: Panasonic, Model: UF890)",1,No.
"16/06/2022",1/2022,M-201,"Mobile Phone (Brand: Sony Ericsson, Model: W595)",5,Nos.
"16/06/2022",1/2022,M-201,"Mobile Phone (Brand: Sony Ericsson, Model: Xperia X8)",6,Nos.
"16/06/2022",1/2022,M-201,"Mobile Phone (Brand: Samsung, Model: Galaxy Ace)",1,No.
"16/06/2022",1/2022,M-201,"Mobile Phone (Brand: Sony Ericsson, Model: W705)",1,No.
"16/06/2022",1/2022,M-201,"Digital Camera (Brand: Panasonic, Model: DMC-LX2)",1,No.
"16/06/2022",1/2022,M-201,"Digital Camera (Brand: Panasonic, Model: DMC-FX50)",3,Nos.
"16/06/2022",1/2022,M-201,"Digital Camera (Brand: Canon, Model: PowerShot G9)",3,Nos.
"16/06/2022",1/2022,M-201,"Digital Camera (Brand: Panasonic, Model: DMC-FX520)",1,No.
"16/06/2022",1/2022,M-201,"Digital Camera (Brand: Panasonic, Model: DMC-ZS3)",4,Nos.
"16/06/2022",1/2022,M-201,"Digital Camera (Brand: Panasonic, Model: DMC-FH22)",3,Nos.
"16/06/2022",1/2022,M-201,"Digital Camera (Brand: Panasonic, Model: DMC-TS2)",1,No.
"16/06/2022",1/2022,M-202,"Electric Impact Drill, (Brand: Hilti, Model: TE-5)",1,No.
"16/06/2022",1/2022,M-202,"Ammonia Gas Alert Monitor with Vibration Alarm (Brand: BW, Model: GAA-A(NH3))",1,No.
"16/06/2022",1/2022,M-202,"Temperature Recorder (Brand: Supco, Model: CR87B)",1,No.
"16/06/2022",1/2022,M-202,"Thermo-Hunter (Brand: OPTEX, Model: PT-2LD)",1,No.
"16/06/2022",1/2022,M-202,"Gas Detector Gas Alert Max XTII (Brand: BW, Model: XT-XWHM-Y-OR)",1,No.
"16/06/2022",1/2022,M-202,"High Pressure Cleaner (Brand: Kyowa, Model: KYC-20A)",1,No.
"16/06/2022",1/2022,M-202,"Vacuum Pump (Brand: Westco, Model: wvp5)",1,No.
"16/06/2022",1/2022,M-203,"Air-conditioner 12000BTU Mobile Type (Brand: Midea, Model: MRF-12CRN2)",2,Nos.
"16/06/2022",1/2022,M-204,"Facsimile Machine (Brand: Panasonic, Model: UF-885)",1,No.
"16/06/2022",1/2022,M-204,"Digital Camera (Brand: Sony, Model: DSC-TX-30)",2,Nos.
"16/06/2022",1/2022,M-204,"Digital Camera (Brand: Canon, Model: S-95)",1,No.
"16/06/2022",1/2022,M-204,"Digital Cordless Phone (Brand: Panasonic, Model: KX-TGC313)",4,Nos.
"16/06/2022",1/2022,M-204,"Digital Camera (Brand: Canon, Model: A80 )",1,No.
"16/06/2022",1/2022,M-205,"Visualizer (Brand: Provision, Model: PH-2000) (Dismantled)",20,Nos.
"16/06/2022",1/2022,M-205,"Visualizer (Brand: Vega, Model: V730) (Dismantled)",12,Nos.
"16/06/2022",1/2022,M-205,"Visualizer (Brand: Vega, Model: V850) (Dismantled)",8,Nos.
"16/06/2022",1/2022,M-205,"Projector (Brand: Sanyo, Model: 2600) (Dismantled)",12,Nos.
"16/06/2022",1/2022,M-205,"Projector (Brand: EIKI, Model: LC-XNB3) (Dismantled)",1,No.
"16/06/2022",1/2022,M-205,"Projector (Brand: EIKI, Model: LC-NB2) (Dismantled)",3,Nos.
"16/06/2022",1/2022,M-205,"Projector (Brand: Epson, Model: EB-84) (Dismantled)",12,Nos.
"16/06/2022",1/2022,M-205,Working Table,6,Nos.
"16/06/2022",1/2022,M-206,"Earphone (Brand: JAYBIRD, Model: Bluebuds)",1,No.
"16/06/2022",1/2022,M-206,"Square Meeting Table, 1000(W) x 1000(D) x 745(H) mm",1,No.
"16/06/2022",1/2022,M-206,"Paper Shredder (Brand: Sunwood, Model: SD9331)",1,No.
"16/06/2022",1/2022,M-206,45W Loudhailer (Brand: TOA),1,No.
"16/06/2022",1/2022,M-206,"Portable Amplifier (Brand: KEDN, Model: KN-780D)",1,No.
"16/06/2022",1/2022,M-206,"Portable Amplifier (Brand: Ou Mei Sheng, Model: 006A/B)",1,No.
"16/06/2022",1/2022,M-206,"Air Purifier (Brand: Whirlpool, Model: AP33)",1,No.
"16/06/2022",1/2022,M-206,"Loudhailer (Brand: CAH, Model: MP-45)",2,Nos.
"16/06/2022",1/2022,M-206,"Loudhailer (Brand:  TOA, Model: ER2230W)",1,No.
"16/06/2022",1/2022,M-206,"Water Dispenser (Brand: Tiptop, Model: YLR2-5-X)",1,No.
"16/06/2022",1/2022,M-206,"Paper Shredder (Brand: Fellow, Model: P-58CS)",1,No.
"16/06/2022",1/2022,M-207,"Mobile Phone (Brand: Nokia, Model: 2700C)",2,Nos.
"16/06/2022",1/2022,M-208,"Integrated Chip Recorder (Brand: NEC, Model: MI-R930)",10,Sets
"16/06/2022",1/2022,M-208,"Mobile Phone (Brand: Nokia, Model: 6230i)",2,Nos.
"16/06/2022",1/2022,M-209,"Intergrated Chip Recorder (2GB) (Brand: Olympus, Model: DM450)",1,No.
"16/06/2022",1/2022,M-209,"Mobile Phone (Brand: Nokia, Model: 2630)",1,No.
"16/06/2022",1/2022,M-210,Hand Held Laser Scanner,2,Nos.
"16/06/2022",1/2022,M-210,Portable Data Terminal (Brand: Symbol),1,No.
"16/06/2022",1/2022,M-210,Cradle (Brand: Symbol),1,No.
"16/06/2022",1/2022,M-210,"Desktop Calculator (Brand: Casio, Model: DF 120TE)",1,No.
"16/06/2022",1/2022,M-210,"Laminator (Brand: Peach, Model: 260AP)",1,No.
"16/06/2022",1/2022,M-210,Microphone,1,No.
"16/06/2022",1/2022,M-210,"Portable Cordless Public Address System with Wireless Microphone Transmitter (Brand: SANHA, Model: SH-120A)",1,No.
"16/06/2022",1/2022,M-210,Clock,1,No.
"16/06/2022",1/2022,M-210,High Back Manager Chair,1,No.
"16/06/2022",1/2022,M-210,High Back Leather Chair ,1,No.
"16/06/2022",1/2022,M-210,Desk Lamp ,1,No.
"16/06/2022",1/2022,M-210,"Data Terminal Portable Datalogic (Brand: SKORPIO, Model: SH-120A)",4,Nos.
"16/06/2022",1/2022,M-210,Charging Cradle,2,Nos.
"16/06/2022",1/2022,M-210,High Chair,1,No.
"16/06/2022",1/2022,M-211,"Mobile Phone (Brand: Nokia, Model: 6030)",2,Nos.
"16/06/2022",1/2022,M-211,"Digital Camera (Brand: Nikon, Model: COOLPIX S620)",1,No.
"16/06/2022",1/2022,M-211,Ultrasonic Detector Kit,1,No.
"16/06/2022",1/2022,M-211,Pressure Recorder ,2,Nos.
"16/06/2022",1/2022,M-212,Electronic Coating Thickness Gauge (Brand: Elcometer),1,No.
"16/06/2022",1/2022,M-212,Pressure Recorder ,2,Nos.
"16/06/2022",1/2022,M-213,Inductively Coupled Plasma Mass Spectrometer and Accessories,1,Set
"16/06/2022",1/2022,M-214,Liquid Heater,1,No.
"16/06/2022",1/2022,M-214,Insulated Container for Van,1,No.
"16/06/2022",1/2022,M-214,Automated Digital Imaging Particle Analysis System,1,No.
"16/06/2022",1/2022,M-215,Enamel Kiln,1,No.
"16/06/2022",1/2022,M-215,Ceramic Kiln,1,No.
"16/06/2022",1/2022,M-215,Exercise Bike (Brand: Kettler),3,Nos.
"16/06/2022",1/2022,M-215,Cross Trainer (Brand: Kettler),3,Nos.
"16/06/2022",1/2022,M-215,Pull-up Rack (Brand: Kettler),2,Nos.
"16/06/2022",1/2022,M-215,Rowing Machine (Brand: Kettler),3,Nos.
"16/06/2022",1/2022,M-215,Table Tennis Table (Brand: Double Fish),1,No.
"16/06/2022",1/2022,M-216,"Film Camera (Brand: Pentax, Model: Espio 928)",1,No.
"16/06/2022",1/2022,M-216,"Digital Camera (Brand: Kodak, Model: DC210)",1,No.
"16/06/2022",1/2022,M-216,"Film Camera (Brand: Nikon, Model: F-301)",1,No.
"16/06/2022",1/2022,M-216,"Lens (Brand: Nikon, Model: Nikkor, AF-S 80-200MM F2.8D Zoom)",1,No.
"16/06/2022",1/2022,M-216,"Flash Light (Brand: Nikon, Model: SB-28)",1,No.
"16/06/2022",1/2022,M-216,"Lens (Brand: Nikon, Model: Nikkor, AF-S 28-70/2.8 ED)",1,No.
"16/06/2022",1/2022,M-216,"Lens (Brand: Nikon, Model: Nikkor, AF-S DX 17-55MM F2.8G IF-ED)",1,No.
"16/06/2022",1/2022,M-216,"Digital Camera (Brand: Canon, Model: EOS 30D)",1,No.
"16/06/2022",1/2022,M-216,"Digital Camera (Brand: Canon, Model: IXUS 900TI)",1,No.
"16/06/2022",1/2022,M-216,"Wireless Transmitter (Brand: Nikon, Model: WT-4)",1,No.
"16/06/2022",1/2022,M-216,"Flash Light (Brand: Canon, Model: 580EX Flash)",1,No.
"16/06/2022",1/2022,M-216,"Digital Camera (Brand: Canon, Model: EOS 20D) with EF 24-70mm F2.8 Lens",1,Set.
"16/06/2022",1/2022,M-216,"Flash Light (Brand: Canon, Model: 580EX Flash)",1,No.
"16/06/2022",1/2022,M-216,"Digital Camera (Brand: Canon, Model: EOS 20D)",1,No.
"16/06/2022",1/2022,M-216,"Flash Light (Brand: Canon, Model: 580EX Flash)",1,No.
"16/06/2022",1/2022,M-216,"Lens Filter (Brand: Canon, Model: 77mm PRT)",2,Nos.
"16/06/2022",1/2022,M-216,"Battery Grip (Brand: Canon, Model: BG-E2)",1,No.
"16/06/2022",1/2022,M-217,"Telephone System (Brand: Nitsuko, Model: TX-Z308) (Dismantled)",1,Set
"16/06/2022",1/2022,M-217,"Telephone Set (Brand: Nitsuko, Model: TX-Z Series) (Dismantled)",6,Nos.
"16/06/2022",1/2022,M-218,"Paper Shredder (Brand: Kobra, Model: 260-C2)",1,No.
"16/06/2022",1/2022,M-218,"Electronic Whiteboard (Brand: Panasonic, Model: KX-B730)",1,No.
"16/06/2022",1/2022,M-219,Public Address System (Dismantled),1,Set
"16/06/2022",1/2022,M-219,Digital pH Meter (Brand: Lutron),1,No.
"16/06/2022",1/2022,M-219,"pH Meter (Brand: KD, Model: PH500)",2,Nos.
"16/06/2022",1/2022,M-219,Dispenser (Brand: Finnpipette),1,No.
"16/06/2022",1/2022,M-219,Dry Cabinet (Brand: Weifo),1,No.
"16/06/2022",1/2022,M-219,LCD Digital Microscope (Model: EV560),1,No.
"16/06/2022",1/2022,M-219,Low Frequency Signal Generator,7,Nos.
"16/06/2022",1/2022,M-219,Digital Signal Generator & Amplifier,1,No.
"16/06/2022",1/2022,M-219,Electric Vacuum Pump,1,No.
"16/06/2022",1/2022,M-219,"Sewing Machine (Brand: Singer, Model: 5806)",1,No.
"16/06/2022",1/2022,M-219,"Sewing Machine (Brand: Singer, Model: 5417C)",1,No.
"16/06/2022",1/2022,M-219,Mixer (Model: HR1453),4,Nos.
"16/06/2022",1/2022,M-219,"Dishwasher (Brand: Philco, Model: ST812893)",1,No.
"16/06/2022",1/2022,M-219,"Steamer (Brand: Gemini, Model: GGS100)",1,No.
"16/06/2022",1/2022,M-219,Folding Table (Brand: Lifetime),1,No.
"16/06/2022",1/2022,M-219,"Wheel Chair (Brand: Maki, Model: G122)",1,No.
"16/06/2022",1/2022,M-219,"Electronic Balance (Brand: AND, Model: HR200)",1,No.
"16/06/2022",1/2022,M-219,"Water Bath, Unstirred Thermostat (Brand: Clifton)",1,No.
"16/06/2022",1/2022,M-219,Portable Overhead Projector (Brand: Gakken),1,No.
"16/06/2022",1/2022,M-219,Visualizer (Brand: Ken-A-Vision) (Dismantled),1,No.
"16/06/2022",1/2022,M-219,"Oscilloscope, Dual Trace",2,Nos.
"16/06/2022",1/2022,M-219,"Smoke Machine (Brand: ANTARI, Model: Z-1000)",1,No.
"16/06/2022",1/2022,M-219,"Mixer (Brand: Soundcraft, Model: EFX8)",1,No.
"16/06/2022",1/2022,M-219,Potters Kick Wheel (Brand: A&D),2,Nos.
"16/06/2022",1/2022,M-219,"LCD Projector (Brand: NEC, Model: VT695) (Dismantled)",3,Nos.
"16/06/2022",1/2022,M-219,"LCD Projector (Brand: Hitachi, Model: CP-X3030 WN) (Dismantled)",3,Nos.
"16/06/2022",1/2022,M-219,"LCD Projector (Brand: Hitachi, Model: CP-EX300N) (Dismantled)",5,Nos.
"16/06/2022",1/2022,M-219,"LCD Projector (Brand: Hitachi, Model: CP-X3015 WN) (Dismantled)",10,Nos.
"16/06/2022",1/2022,M-219,"LCD Projector (Brand: Panasonic, Model: PT-LB330) (Dismantled)",7,Nos.
"16/06/2022",1/2022,M-219,"Sewing Machine (Brand: Singer, Model: 3722)",2,Nos.
"16/06/2022",1/2022,M-219,3-speed Floor Dryer,2,Nos.
"16/06/2022",1/2022,M-220,Steamer,1,No.
"16/06/2022",1/2022,M-220,"Radio Cassette Recorder (Brand: Panasonic, Model: RX-FT560)",1,No.
"16/06/2022",1/2022,M-220,Electric Punching Machine (Heavy Duty),1,No.
"16/06/2022",1/2022,M-220,"Document Cabinet, Roller Shutter Door (Brand: Roneo)",1,No.
"16/06/2022",1/2022,M-220,Waterpot (Brand: TRIANOLE),15,Nos.
"16/06/2022",1/2022,M-220,"Electric Kettle (Brand: National, Model: NC-430)",2,Nos.
"16/06/2022",1/2022,M-220,"Quarty Wall Clock (Brand: Time Square, Model: QS228) (Dismantled)",8,Nos.
"16/06/2022",1/2022,M-220,"Punch Two-Hole, Heavy Duty (Brand: Carl, Model: 120-N)",1,No.
"16/06/2022",1/2022,M-220,"Binding Machine (Brand: E-Kombo, Model: 15226)",1,No.
"16/06/2022",1/2022,M-220,"Punch (Brand: OPEN, Model: 666)",2,Nos.
"16/06/2022",1/2022,M-220,"Punch (Brand: OPEN, Model: 3300)",1,No.
"16/06/2022",1/2022,M-220,"Punch (Brand: Carl, Model: 120-N)",1,No.
"16/06/2022",1/2022,M-220,"Auto Stapler (Brand: Maruzen, Model: 7599)",1,No.
"16/06/2022",1/2022,M-220,"Heavy Duty Stapler (Brand: Etona, Model: 260)",1,No.
"16/06/2022",1/2022,M-220,"Paper Drilling Machine (Brand: VCH IDA, Model: VS-10)",1,No.
"16/06/2022",1/2022,M-221,Microwave Oven,2,Nos.
"16/06/2022",1/2022,M-221,Electric Kettle,2,Nos.
"16/06/2022",1/2022,M-221,Hi-Fi System,1,No.
"16/06/2022",1/2022,M-222,DVD Hi-Fi System,1,Set
"16/06/2022",1/2022,M-222,Electric Kettle,3,Nos.
"16/06/2022",1/2022,M-222,Microwave Oven,5,Nos.
"16/06/2022",1/2022,M-223,"Treadmill (Brand: Lk, Model: Pro Action)",1,No.
"16/06/2022",1/2022,M-223,"Scale, Body Composition Analyzer (Brand: Tanita, Model: Tbf-410gs)",1,No.
"16/06/2022",1/2022,M-223,"Rowing Machine with Monitor (Brand: Indoor Rower, Model: Concept 2)",2,Nos.
"16/06/2022",1/2022,M-223,"Projector (Brand: Plus, Model: U7-132hsf) (Dismantled)",1,No.
"16/06/2022",1/2022,M-223,"Treadmill (Brand: Precor, Model: 956i)",1,No.
"16/06/2022",1/2022,M-223,"Treadmill (Brand: Sports Art, Model: Tr-22f)",1,No.
"16/06/2022",1/2022,M-223,LCD Digital Timer,1,No.
"16/06/2022",1/2022,M-223,"Timer with Built-in Printer (Brand: Seiko, Model: S149)",1,No.
"16/06/2022",1/2022,M-223,"Electronic Scale (Brand: Miki, Model: Del)",1,No.
"16/06/2022",1/2022,M-224,"Used Private Car (with Car Key) (Damaged)
Brand: Mazda
Chassis No.: JM6CC1071E0105531",1,No.
"16/06/2022",1/2022,M-225,"Used Private Car (with Car Key) (Damaged)
Brand: Honda
Chassis No.: JHMRB3880DC201408",1,No.
"16/06/2022",1/2022,M-226,"Used Private Car (with Car Key) (Damaged)
Brand: Mazda
Chassis No.: JM6-LY1032-00200914",1,No.
"16/06/2022",1/2022,M-227,"Used Private Car (with Car Key) (Damaged)
Brand: Volkswagen
Chassis No.: WVGZZZ5NZDW006354",1,No.
"16/06/2022",1/2022,M-228,"Used Private Car (with Car Key) (Damaged)
Brand: Volkswagen
Chassis No.: WVWZZZ3CZCP078298",1,No.
"16/06/2022",1/2022,M-229,"Used Private Car (with Car Key) (Damaged)
Brand: Mazda
Chassis No.: JM6-LY1032-00201470",1,No.
"16/06/2022",1/2022,M-230,"Projector (Brand: Plus, Model: U2-1130) (Dismantled)",1,No.
"16/06/2022",1/2022,M-230,"Screen 70""x 70"" (Brand: Drpaer) (Dismantled)",1,No.
"16/06/2022",1/2022,M-230,"Camera with AF-28-80mm, F3.5-5.6 kit (Brand: Minolta Dynax, Model: 505si)",1,No.
"16/06/2022",1/2022,M-230,"Lens, AF75-300mm, F4.5-5.6 II (Brand: Minolta Dynax)",1,No.
"16/06/2022",1/2022,M-230,Binoculars with Luxury Strap & Pouch (Brand: SWAROVSKI),1,No.
"16/06/2022",1/2022,M-230,"Digital Camera (Brand: KODAK, Model: DC-290)",1,No.
"16/06/2022",1/2022,M-230,"Memory Card, 32MB (Brand: KODAK)",1,No.
"16/06/2022",1/2022,M-230,Battery Charger (Brand: KODAK),1,No.
"16/06/2022",1/2022,M-231,4-Port Dialogic Card,2,Sets
"16/06/2022",1/2022,M-231,Industrial Server (Brand: HanPHONE),2,Nos.
"16/06/2022",1/2022,M-231,Keyboard Video Mouse Switch (Brand: ATEN Model: CS-14),1,No.
"16/06/2022",1/2022,M-231,Tape Drive (Brand: HP  Model: VS160) ,1,No.
"16/06/2022",1/2022,M-232,Paper Shredder (Brand: Kobra; Model: C-100),1,No.
"16/06/2022",1/2022,M-232,Facsimile Machine (Brand: Panasonic; Model: UF-590-AK),1,No.
"16/06/2022",1/2022,M-233,Electric Steam Table,2,Nos.
"16/06/2022",1/2022,MS-301,"Mobile Phone (Brand: Nokia, Model: 5130)",1,No.
"16/06/2022",1/2022,MS-301,"Mobile Phone (Brand: Nokia, Model: 1616)",1,No.
"16/06/2022",1/2022,MS-301,"Digital Camera with Charger, Battery and 16MB CF Card (Brand: Kodak, Model: DC 4800 Zoom)",1,Set
"16/06/2022",1/2022,MS-301,"Digital Camera (Brand: SONY, Model: CyberShot DSC-HX60V)",1,No.
"16/06/2022",1/2022,MS-301,Portable CD-ROM,2,Nos.
"16/06/2022",1/2022,MS-301,"Cassette Recorder (Brand: SONY, Model: TCM-400DV)",1,No.
"16/06/2022",1/2022,MS-302,"Wooden Cabinet, Sliding Door, Light Grey, W1200mm x D400mm x H2000mm",1,No.
"16/06/2022",1/2022,MS-302,"Wooden Desk, Light Grey, W1200mm x D600mm x H745mm",2,Nos.
"16/06/2022",1/2022,MS-302,"Pedestal, Movable, Light Grey(wooden), W415mm x D520mm x H650mm",1,No.
"16/06/2022",1/2022,MS-302,"Pedestal, Light Grey(wooden), W410mm x D500mm x H435mm",1,No.
"16/06/2022",1/2022,MS-302,"Wooden Counter Desk, W1140mm x D760mm x H1140mm",1,No.
"16/06/2022",1/2022,MS-302,"Wooden Cabinet, Sliding Door, Light Grey, W900mm x D400mm x H1040mm",1,No.
"16/06/2022",1/2022,MS-302,"Wooden Cabinet, W610mm x D320mm x H1165mm",1,No.
"16/06/2022",1/2022,MS-302,"Partition, W1200mm x H1200mm, W1200mm x H700mm",1,Set
"16/06/2022",1/2022,MS-303,"Video-camera, 30 GB 3CCD (Brand: Panasonic)",1,No.
"16/06/2022",1/2022,MS-303,"Mobile Phone, Black 64GB GSM  (Brand: Apple , Model:  Iphone 5)",1,No.
"16/06/2022",1/2022,MS-303,"Mobile Phone (Brand: Samsung, Model: A3)",1,No.
"16/06/2022",1/2022,MS-303,"Mobile Phone (Brand: Samsung, Model: S7 edge)",1,No.
"16/06/2022",1/2022,MS-303,Photocopier (Model: Taskalfa  2550Ci),1,No.
"16/06/2022",1/2022,MS-303,"Copy Machine  (Brand: Ricoh Aficio, Model: MP-2501sp)",1,No.
"16/06/2022",1/2022,MS-303,"Document Feeder for Copy Machine (Brand: Ricoh Aficio, Model: DF-2020)",1,No.
"16/06/2022",1/2022,MS-303,"Office Folding Machine  (Brand: IDEAL , Model: 8304)",1,No.
